Change Date,Old,New,New Company Name
2020-01-02,FSRVU,KPLT,Katapult Holdings Inc
2020-01-02,CECO,PRDO,Perdoceo Education Corp
2020-01-05,ROCCU,RSVR,Reservoir Media Inc
2020-01-05,RSVAU,ENVX,Enovix Corp
2020-01-06,MFAC,BMTX,Bm Technologies Inc
2020-01-06,PJC,PIPR,Piper Sandler Companies
2020-01-07,LNFA.U,ZFOX,Zerofox Holdings Inc
2020-01-08,AZSEY,ALIZY,Allianz Se
2020-01-09,CLDC,RAHGF,Roan Holdings Group Co Ltd.
2020-01-10,ALUS.U,FREY,Freyr Battery
2020-01-10,PRTO,TARA,Protara Therapeutics Inc
2020-01-10,SAQNU,CURI,Curiositystream Inc
2020-01-12,LXRP,LEXX,Lexaria Bioscience Corp
2020-01-14,AMHCU,JSPR,Jasper Therapeutics Inc
2020-01-15,PTACU,PRCH,Porch Group Inc
2020-01-16,LIVKU,AGIL,Agilethought Inc
2020-01-17,FGP,FGPRQ,Ferrellgas Partners L P
2020-01-21,MOSC,VVNT,Vivint Smart Home Inc
2020-01-22,MDR,MDRIQ,Mcdermott International Inc
2020-01-27,ECA,OVV,Ovintiv Inc
2020-01-29,SRACU,MNTS,Momentus Inc
2020-01-30,ELAXU,ELAT,Elanco Animal Health Inc
2020-01-30,PVT,KLDI,Kldiscovery Inc
2020-01-31,ESTRW,ESTWF,Estre Ambiental Inc
2020-02-03,FII,FHI,Federated Hermes Inc
2020-02-03,BIOS,OPCH,Option Care Health Inc
2020-02-03,XON,PGEN,Precigen Inc
2020-02-03,WTR,WTRG,Essential Utilities Inc
2020-02-05,CIICU,ARVL,Arrival
2020-02-10,GSAH,VRT,Vertiv Holdings Co.
2020-02-11,GRSH,PAE,Pae Inc
2020-02-11,PKD,PKDC,Parker Drilling Co.
2020-02-12,JMU,MFH,Mercurity Fintech Holding Inc
2020-02-13,MRIC,CLPT,Clearpoint Neuro Inc
2020-02-18,BWMC,ATCX,Atlas Technical Consultants Inc
2020-02-18,BRPM,ALTG,Alta Equipment Group Inc
2020-02-19,TKKS,GSMG,Glory Star New Media Group Holdings Ltd.
2020-02-20,HALC,BATL,Battalion Oil Corp
2020-02-24,SBGL,SBSW,Sibanye Stillwater Ltd.
2020-02-28,SSW,ATCO,Atlas Corp
2020-03-02,MNI,MNIQQ,Mcclatchy Co.
2020-03-02,PIR,PIRRQ,Pier 1 Imports Inc
2020-03-02,BPR,BPYU,Brookfield Property Reit Inc
2020-03-02,IPV.U,AEVA,Aeva Technologies Inc
2020-03-02,GDI,IR,Ingersoll Rand Inc
2020-03-03,COT,PRMW,Primo Water Corp
2020-03-04,SDEV,BYRN,Byrna Technologies Inc
2020-03-06,HIIQ,BFYT,Benefytt Technologies Inc
2020-03-06,CTAC,GDYN,Grid Dynamics Holdings Inc
2020-03-09,GLOW,OBLG,Oblong Inc
2020-03-13,SPEX,AIKI,Aikido Pharma Inc
2020-03-17,IVOB,INVO,Invo Bioscience Inc
2020-03-18,TIBR,IGIC,International General Insurance Holdings Ltd.
2020-03-19,NLNK,LUMO,Lumos Pharma Inc
2020-03-25,DFNS.U,IRNT,Ironnet Inc
2020-03-30,DCIX,PSHG,Performance Shipping Inc
2020-03-30,CTST,CNTTQ,Canntrust Holdings Inc
2020-03-31,EDTX,METX,Meten Holding Group Ltd.
2020-04-02,RECN,RGP,Resources Connection Inc
2020-04-02,UTX,RTX,Raytheon Technologies Corp
2020-04-02,BURG,SONN,Sonnet Biotherapeutics Holdings Inc
2020-04-07,QHC,QHCCQ,Quorum Health Corp
2020-04-08,WRLS,AVCT,American Virtual Cloud Technologies Inc
2020-04-08,CCXX.U,MPLN,Multiplan Corp
2020-04-08,PENC,NMGX,Nano Magic Holdings Inc
2020-04-13,GHIVU,UWMC,Uwm Holdings Corp
2020-04-17,DMYT.U,RSI,Rush Street Interactive Inc
2020-04-20,MSG,MSGS,Madison Square Garden Sports Corp
2020-04-24,FTR,FTRCQ,Frontier Communications Corp
2020-04-24,DEAC,DKNG,Draftkings Inc
2020-04-28,DO,DOFSQ,Diamond Offshore Drilling Inc
2020-04-29,RBZ,RBZHF,Reebonz Holding Ltd.
2020-04-29,FEAC.U,SKLZ,Skillz Inc
2020-05-04,FBNK,FUBO,Fubotv Inc
2020-05-04,INNT,NMTR,9 Meters Biopharma Inc
2020-05-05,AKG,GAU,Galiano Gold Inc
2020-05-05,NBACU,NVVE,Nuvve Holding Corp
2020-05-07,CCAC.U,QNGY,Quanergy Systems Inc
2020-05-08,TROV,CRDF,Cardiff Oncology Inc
2020-05-08,CIFS,FRGT,Freight Technologies Inc
2020-05-11,AVH,AVHOQ,Avianca Holdings SA
2020-05-11,CUI,OIG,Orbital Infrastructure Group Inc
2020-05-11,HHHH,SJ,Scienjoy Holding Corp
2020-05-14,SSI,SSINQ,Stage Stores Inc
2020-05-15,PEER,PALT,Paltalk Inc
2020-05-18,TMSR,CCNC,Code Chain New Continent Ltd.
2020-05-18,SES,SYNE,Synthesis Energy Systems Inc
2020-05-19,JCP,CPPRQ,Old Copper Company Inc
2020-05-19,BPMX,TMBR,Timber Pharmaceuticals Inc
2020-05-20,DFPHU,TOI,Oncology Institute Inc
2020-05-20,LSACU,VINC,Vincerx Pharma Inc
2020-05-21,I,INTEQ,Intelsat SA
2020-05-26,RTTR,QLGN,Qualigen Therapeutics Inc
2020-05-27,UNT,UNTCQ,Unit Corp
2020-05-27,CNAT,HSTO,Histogen Inc
2020-05-29,DCAR,AYRO,Ayro Inc
2020-05-29,ZFGN,LRMR,Larimar Therapeutics Inc
2020-06-01,AOBC,SWBI,Smith & Wesson Brands Inc
2020-06-01,LOAK.U,DNMR,Danimer Scientific Inc
2020-06-01,MUDS,HYMC,Hycroft Mining Holding Corp
2020-06-01,LBY,LBYYQ,Libbey Inc
2020-06-01,SPAR,SHYF,Shyft Group Inc
2020-06-04,VTIQ,NKLA,Nikola Corp
2020-06-04,APY,CHX,Championx Corp
2020-06-05,BMRG.U,EOSE,Eos Energy Enterprises Inc
2020-06-10,LTM,LTMAQ,Latam Airlines Group SA
2020-06-11,NEBU,LPRO,Open Lending Corp
2020-06-11,ITRK,LPTV,Loop Media Inc
2020-06-12,VRML,AWH,Aspira Women's Health Inc
2020-06-12,ERA,VTOL,Bristow Group Inc
2020-06-16,IPOC.U,CLOV,Clover Health Investments Corp
2020-06-16,TOCA,FBRX,Forte Biosciences Inc
2020-06-17,NOVSU,APPH,Appharvest Inc
2020-06-17,PCPL.U,ETWO,E2open Parent Holdings Inc
2020-06-17,PAAC,LGHL,Lion Group Holding Ltd.
2020-06-17,PYX,PYXSQ,Pyxus International Inc
2020-06-22,FDEF,PFC,Premier Financial Corp
2020-06-22,IPOB.U,OPEN,Opendoor Technologies Inc
2020-06-23,CHAQ.U,RCOR,Renovacor Inc
2020-06-24,FVAC.U,MP,Mp Materials Corp
2020-06-25,ACTT,FREE,Whole Earth Brands Inc
2020-06-25,XOG,XOGAQ,Extraction Oil & Gas Inc
2020-06-26,CHK-PD,CHKLQ,Chesapeake Energy Corp
2020-06-26,LK,LKNCY,Luckin Coffee Inc
2020-06-29,CHK,CHKAQ,Chesapeake Energy Corp
2020-06-30,SOAC.U,TMC,Tmc The Metals Co Inc
2020-07-01,PUB,ALTA,Altabancorp
2020-07-01,GNC,GNCIQ,Gnc Holdings Inc
2020-07-01,CGROU,INVZ,Innoviz Technologies Ltd.
2020-07-01,RUBI,MGNI,Magnite Inc
2020-07-02,GPAQ,HOFV,Hall Of Fame Resort & Entertainment Co.
2020-07-02,ARYA,IMTX,Immatics Nv
2020-07-06,CVTI,CVLG,Covenant Logistics Group Inc
2020-07-06,PGEUU,PCGU,Pg&e Corp
2020-07-06,INTL,SNEX,Stonex Group Inc
2020-07-07,GIK.U,ZEV,Lightning Emotors Inc
2020-07-07,TRPX,SPRC,Scisparc Ltd.
2020-07-07,CATS,OTRK,Ontrak Inc
2020-07-07,RTW,RTWIQ,Rtw Retailwinds Inc
2020-07-08,JWS.U,CANO,Cano Health Inc
2020-07-09,AMRYY,AMYT,Amryt Pharma PLC
2020-07-11,POL,AVNT,Avient Corp
2020-07-14,HCR,HCRSQ,Hi-crush Inc
2020-07-15,LGVW.U,BFLY,Butterfly Network Inc
2020-07-16,LHC,DMS,Digital Media Solutions Inc
2020-07-20,CRC,CRCQQ,California Resources Corp
2020-07-20,XRF,SOS,Sos Ltd.
2020-07-21,BGG,BGGSQ,Briggs & Stratton Corp
2020-07-21,WPF.U,ALIT,Alight Inc
2020-07-21,ERI,CZR,Caesars Entertainment Inc
2020-07-22,ROCHU,PCT,Purecycle Technologies Inc
2020-07-23,RTIX,SRGA,Surgalign Holdings Inc
2020-07-23,RBS,NWG,Natwest Group PLC
2020-07-31,NE,NEBLQ,Noble Corp
2020-07-31,ROSEW,ROSWQ,Rosehill Resources Inc
2020-08-03,ARYBU,CERE,Cerevel Therapeutics Holdings Inc
2020-08-03,DNR,DNRCQ,Denbury Resources Inc
2020-08-03,TCRD,FCRD,First Eagle Alternative Capital Bdc Inc
2020-08-03,TCRW,FCRW,First Eagle Alternative Capital Bdc Inc
2020-08-03,TCRZ,FCRZ,First Eagle Alternative Capital Bdc Inc
2020-08-03,HECCU,TALK,Talkspace Inc
2020-08-04,ENT,GEENQ,Global Eagle Entertainment Inc
2020-08-05,CNMF,SBEV,Splash Beverage Group Inc
2020-08-07,DNJR,BTBT,Bit Digital Inc
2020-08-07,TXAC,PNT,Point Biopharma Global Inc
2020-08-11,TREB.U,SST,System1 Inc
2020-08-14,UCUT,SILO,Silo Pharma Inc
2020-08-18,FUSE.U,ML,Moneylion Inc
2020-08-18,RYCE,ANFIF,Amira Nature Foods Ltd.
2020-08-19,DBCP,PTRS,Partners Bancorp
2020-08-19,KCAC.U,QS,Quantumscape Corp
2020-08-20,DMPI,KTRA,Kintara Therapeutics Inc
2020-08-20,VAL,VALPQ,Valaris PLC
2020-08-24,PACQ,HPK,Highpeak Energy Inc
2020-08-24,GSAH.U,MIR,Mirion Technologies Inc
2020-08-25,VMACU,ANGH,Anghami Inc
